DISTRICT|FY04
Lake Local SD|7782
North Baltimore Local SD|7778
Northwood Local SD|7336
Otsego Local SD|9590
Mohawk Local SD|8196
Ohio Valley Local SD|7083
College Corner Local SD|7351
Gallia County Local SD|7978
East Guernsey Local SD|7823
Tri-County North Local SD|6111
Monroe Local SD|7009
