line_00 is....
Akron City SD|13121

['Canton Local SD', '7601\n']
['Fairless Local SD', '7449\n']
['Jackson Local SD', '7212\n']
['Lake Local SD', '6250\n']
['Louisville City SD', '5719\n']
['Marlington Local SD', '5593\n']
['Minerva Local SD', '5858\n']
['Northwest Local SD', '5263\n']
['Osnaburg Local SD', '5478\n']
['Perry Local SD', '4852\n']
['Plain Local SD', '4467\n']
['Sandy Valley Local SD', '10163\n']
['Tuslaw Local SD', '8570\n']
['Woodridge Local SD', '10077\n']
['Copley-Fairlawn City SD', '10006\n']
['Coventry Local SD', '8629\n']
['Manchester Local SD', '7983\n']
['Green Local SD', '7380\n']
['Hudson Local SD', '9228\n']
['Mogadore Local SD', '6710\n']
['Nordonia Hills City SD', '6829\n']
['Revere Local SD', '7046\n']
['Springfield Local SD', '6033\n']
['Twinsburg City SD', '5864\n']
['Bloomfield-Mespo Local SD', '5952\n']
['Bristol Local SD', '5388\n']
['Brookfield Local SD', '5171\n']
['Champion Local SD', '4958\n']
['Mathews Local SD', '5024\n']
['Howland Local SD', '6497\n']
['Joseph Badger Local SD', '11403\n']
['Lakeview Local SD', '8938\n']
['Liberty Local SD', '8899\n']
['Lordstown Local SD', '8546\n']
['Maplewood Local SD', '7697\n']
['McDonald Local SD', '8933\n']
['Southington Local SD', '7165\n']
['La Brae Local SD', '7361\n']
['Weathersfield Local SD', '7046\n']
['Garaway Local SD', '6858\n']
['Indian Valley Local SD', '6559\n']
['Strasburg-Franklin Local SD', '6453\n']
['Tuscarawas Valley Local SD', '5538\n']
['Fairbanks Local SD', '7458\n']
['North Union Local SD', '6932\n']
['Crestview Local SD', '5407\n']
['Lincolnview Local SD', '5179\n']
['Vinton County Local SD', '4809\n']
['Carlisle Local SD', '9456\n']
['Springboro Community City SD', '13671\n']
['Kings Local SD', '10329\n']
['Little Miami Local SD', '10201\n']
['Mason City SD', '11087\n']
['Wayne Local SD', '10045\n']
['Fort Frye Local SD', '8946\n']
['Frontier Local SD', '8767\n']
['Warren Local SD', '7162\n']
['Wolf Creek Local SD', '7361\n']
['Chippewa Local SD', '7468\n']
['Dalton Local SD', '7815\n']
['Green Local SD', '6686\n']
['North Central Local SD', '5046\n']
['Northwestern Local SD', '5218\n']
['Southeast Local SD', '5548\n']
['Triway Local SD', '7186\n']
['Edgerton Local SD', '4273\n']
['Edon-Northwest Local SD', '9850\n']
['Millcreek-West Unity Local S', '5060\n']
['North Central Local SD', '6970\n']
['Stryker Local SD', '9084\n']
['Eastwood Local SD', '9346\n']
['Elmwood Local SD', '8693\n']
['Lake Local SD', '7371\n']
['North Baltimore Local SD', '6826\n']
['Northwood Local SD', '6926\n']
['Otsego Local SD', '7746\n']
['Mohawk Local SD', '7018\n']
['Ohio Valley Local SD', '5971\n']
['College Corner Local SD', '6745\n']
['Gallia County Local SD', '5625\n']
['East Guernsey Local SD', '6607\n']
['Tri-County North Local SD', '5103\n']
['Monroe Local SD', '5476\n']
Akron City SD|0.4165841018215075
Alliance City SD|1.0204529581961488
Ashland City SD|1.1959293771456596
Ashtabula Area City SD|1.064826565143824
Athens City SD|1.1003535773710482
Barberton City SD|1.1547605308713214
Bay Village City SD|1.0785795631017703
Beachwood City SD|0.9873791927231381
Bedford City SD|1.2257657088727503
Bellaire Local SD|1.32450519720917
Bellefontaine City SD|1.208842739909563
Bellevue City SD|1.1737445502987243
Belpre City SD|1.26079869600652
Berea City SD|1.2876691027833929
Bexley City SD|1.2210198636228877
Bowling Green City SD|0.42479788123780315
Brecksville-Broadview Height|0.678849902534113
Brooklyn City SD|0.754190885350855
Brunswick City SD|0.5022068095838588
Bryan City SD|1.0968188105117567
Bucyrus City SD|1.1891828884485371
Cambridge City SD|1.135072142064373
Campbell City SD|0.9712799638172772
Canton City SD|1.186024439435283
Celina City SD|1.006171648987464
Centerville City SD|1.157789079229122
Chillicothe City SD|1.1487916394513389
Cincinnati City SD|1.135637480798771
Circleville City SD|1.3717676452217364
Claymont City SD|1.392326499905962
Cleveland Municipal SD|1.2871932515337423
Cleveland Hts-Univ Hts City|1.1664912016844637
Columbus City SD|1.2268604795626785
Conneaut Area City SD|0.37846526826183197
Coshocton City SD|0.3231776575131957
Cuyahoga Falls City SD|0.518491509532243
Dayton City SD|0.5954545454545455
Deer Park Community City SD|1.104456050672297
Defiance City SD|1.0381346537580372
Delaware City SD|1.0855466030040783
Delphos City SD|0.9978494623655914
Dover City SD|1.1274720038122468
East Cleveland City SD|1.1546080964685617
East Liverpool City SD|1.1341515627229912
East Palestine City SD|1.0363776344913869
Eaton Community Schools City|1.226023632866172
Elyria City SD|1.3208086973107
Euclid City SD|1.2147614761476149
Fairborn City SD|1.3027895181741336
Fairview Park City SD|1.1235261859062242
Findlay City SD|1.3386567490702252
Fostoria City SD|0.7476484272276727
Franklin City SD|0.5610670386191265
Fremont City SD|0.5297790109999009
Galion City SD|0.43034581360021446
Gallipolis City SD|1.0318953400367608
Garfield Heights City SD|0.9897783392672562
Geneva Area City SD|1.109739866908651
Girard City SD|1.080597368732962
Grandview Heights City SD|1.1174466151749205
Winton Woods City SD|1.1868440502586843
Greenville City SD|0.9864290610006854
Hamilton City SD|1.2069437138348238
Heath City SD|1.3081550802139037
