IRN,DISTRICT,COUNTY,FY95,FY96,FY97,FY98,FY99,FY00,FY01,FY02,FY03,FY04,FY05,FY06,FY07,FY08,FY09,FY10,FY11,FY12
044446,Nelsonville-York City SD,Athens,"4,594","4,723","5,035","5,815","6,117","6,761","7,470","7,965","8,268","8,189","8,727","8,659","8,477","8,992","9,117","10,140","10,502","10,407"
044453,Newark City SD,Licking,"4,939","5,261","5,782","5,938","6,277","6,446","6,871","7,521","7,871","8,267","8,908","9,378","9,377","8,655","8,652","9,093","9,397","9,638"
044461,New Boston Local SD,Scioto,"6,602","6,770","6,408","6,377","6,869","7,229","8,204","8,381","8,684","9,053","9,013","9,382","13,923","10,945","9,841","10,434","10,945","10,002"
044479,New Lexington City SD,Perry,"4,622","4,865","5,391","5,517","5,965","6,251","6,420","6,902","7,033","7,514","7,557","8,528","8,901","9,635","9,562","10,506","10,555","10,448"
044487,New Philadelphia City SD,Tuscarawas,"4,319","4,492","4,832","5,046","5,548","5,701","6,320","6,461","6,781","7,105","7,688","7,295","7,410","7,113","7,486","8,006","8,332","8,639"
044495,Niles City SD,Trumbull,"4,493","4,458","4,974","5,301","5,913","6,015","6,608","6,955","7,443","8,010","7,217","7,593","8,251","8,549","8,056","8,442","8,788","8,413"
044503,North Canton City SD,Stark,"5,175","5,869","5,804","5,884","6,196","6,702","7,030","7,239","7,469","7,620","7,927","8,183","8,507","8,945","9,207","9,240","9,522","9,528"
044511,North College Hill City SD,Hamilton,"3,935","4,822","5,353","5,334","5,712","6,013","6,227","6,521","7,117","7,488","7,851","7,861","8,540","9,160","9,339","9,530","8,584","8,312"
044529,North Olmsted City SD,Cuyahoga,"6,361","6,214","6,508","6,839","7,144","7,942","8,668","9,076","9,365","9,793","10,220","10,919","10,908","11,531","12,226","12,662","13,017","13,698"
044537,North Ridgeville City SD,Lorain,"5,319","5,600","5,605","6,014","6,721","7,710","7,589","7,576","7,560","8,028","7,915","8,025","8,558","8,661","8,953","9,176","9,110","8,732"
044545,North Royalton City SD,Cuyahoga,"5,613","5,500","5,700","6,456","6,789","7,258","7,599","8,254","8,509","7,984","8,640","9,019","9,491","10,090","9,138","10,679","10,606","10,538"
044552,Norton City SD,Summit,"4,790","5,069","5,328","5,607","5,689","6,538","7,093","7,350","7,463","7,127","7,652","8,049","8,452","8,621","8,802","8,461","8,656","8,771"
044560,Norwalk City SD,Huron,"4,181","4,478","4,667","5,053","5,451","5,526","5,710","5,780","6,314","6,501","6,660","7,131","7,289","7,765","8,454","8,354","8,287","8,383"
044578,Norwood City SD,Hamilton,"5,451","6,122","6,163","6,302","7,036","7,497","7,592","8,149","9,110","9,507","10,214","10,802","11,114","11,220","11,940","12,395","11,957","11,772"
044586,Oakwood City SD,Montgomery,"6,901","7,263","6,909","7,502","7,620","7,285","7,553","8,487","8,910","9,428","9,831","9,738","9,445","9,973","10,361","10,788","11,241","11,590"
044594,Oberlin City SD,Lorain,"6,460","6,845","6,966","7,697","8,983","9,772","9,793","9,986","10,104","9,948","10,256","10,802","11,477","12,497","12,313","12,446","12,217","12,282"
044602,Oregon City SD,Lucas,"6,276","6,528","6,463","6,644","7,104","7,498","8,283","8,784","8,729","9,278","9,678","10,979","11,055","10,863","10,852","10,064","10,365","9,874"
044610,Orrville City SD,Wayne,"4,661","5,386","5,470","5,905","5,910","6,267","6,754","7,208","7,566","7,844","7,774","8,249","8,588","9,179","9,392","9,463","9,567","9,225"
044628,Painsville City Local SD,Lake,"7,253","7,603","7,803","7,757","7,909","8,604","8,296","9,185","8,596","10,161","10,456","10,646","11,314","12,109","12,461","12,011","11,170","10,553"
044636,Parma City SD,Cuyahoga,0,"6,251","6,677","7,029","7,698","7,242","7,969","9,028","9,433","10,069","9,842","10,484","11,267","11,727","11,850","11,626","11,400","11,520"
044644,Piqua City SD,Miami,"4,648","4,951","5,055","5,291","6,595","6,506","6,964","7,186","7,211","7,092","7,855","8,348","8,918","8,654","8,345","9,377","9,905","9,613"
044651,Port Clinton City SD,Ottawa,"5,542","5,920","6,324","6,898","7,693","8,213","8,819","9,388","9,518","9,466","10,155","10,793","11,284","11,249","10,907","11,417","11,280","11,085"
044669,Portsmouth City SD,Scioto,"5,425","5,735","6,326","6,258","6,616","7,145","7,746","9,267","8,962","9,406","9,553","10,356","10,455","10,550","11,194","11,446","11,517","11,526"
044677,Princeton City SD,Hamilton,"8,188","8,351","9,174","9,414","9,406","9,495","10,351","11,051","11,636","12,871","12,645","13,558","14,434","14,703","14,803","15,922","15,270","13,715"
044685,Ravenna City SD,Portage,"5,178","5,273","5,820","5,776","6,390","7,487","7,666","8,032","8,232","8,622","8,673","9,295","9,295","9,523","9,792","10,022","10,004","10,686"
044693,Reading Community City SD,Hamilton,"5,920","6,430","6,314","6,056","7,167","7,867","9,528","8,573","8,808","9,041","9,357","9,771","9,754","9,716","9,280","9,129","9,112","9,115"
044701,Rocky River City SD,Cuyahoga,"7,388","7,880","8,117","8,154","8,288","8,823","9,068","9,236","9,336","10,028","10,782","10,612","10,818","11,196","11,928","12,649","12,948","12,754"
044719,St Bernard-Elmwood Place Cit,Hamilton,"6,361","6,688","7,181","7,687","7,950","8,576","8,677","9,053","9,950","10,679","11,181","12,519","12,224","11,913","12,808","12,520","12,365","11,757"
044727,St Marys City SD,Auglaize,"4,679","4,845","4,972","5,306","5,602","6,089","6,488","6,867","6,898","7,255","7,593","7,615","8,122","8,349","9,390","9,737","10,399","9,575"
044735,Salem City SD,Columbiana,"5,175","5,039","5,764","5,985","6,383","6,317","6,799","7,725","7,990","8,024","8,151","8,953","8,154","8,421","8,283","8,784","9,560","9,084"
044743,Sandusky City SD,Erie,"5,889","6,297","6,272","6,874","7,220","7,853","8,600","8,712","9,124","9,491","9,968","10,863","11,198","11,488","12,326","12,462","13,023","13,071"
044750,Shaker Heights City SD,Cuyahoga,"9,113","9,190","9,244","10,151","10,824","11,557","12,027","12,365","12,924","13,719","14,127","15,103","15,151","16,657","16,194","17,060","16,756","16,618"
044768,Sheffield-Sheffield Lake Cit,Lorain,"5,678","5,683","6,139","6,779","7,350","8,156","8,022","8,413","8,111","8,270","8,306","8,484","8,955","9,054","9,536","9,409","10,251","10,952"
044776,Shelby City SD,Richland,"4,743","5,205","5,569","5,978","6,499","6,661","7,489","7,575","7,943","8,912","8,663","7,933","8,080","9,069","9,275","8,942","9,346","9,617"
044784,Sidney City SD,Shelby,"4,383","4,808","5,078","5,383","5,841","5,790","6,244","6,552","7,409","8,208","8,671","8,154","8,762","8,756","8,962","8,842","9,030","8,706"
044792,South Euclid-Lyndhurst City,Cuyahoga,"7,077","8,126","8,233","8,940","8,935","8,987","9,538","10,965","10,439","10,664","10,598","11,067","12,085","13,166","12,421","12,986","14,308","14,480"
044800,South-Western City SD,Franklin,"5,490","5,675","6,008","6,207","6,545","6,889","7,326","7,533","8,197","8,515","9,140","10,170","8,876","9,336","9,627","9,894","10,397","10,274"
044818,Springfield City SD,Clark,"5,031","5,410","5,662","6,214","6,650","7,231","7,984","8,623","9,233","9,002","9,510","9,861","9,280","9,750","10,083","10,490","10,770","11,162"
044826,Steubenville City SD,Jefferson,"5,227","5,304","5,607","6,041","6,223","6,557","7,025","7,122","7,637","7,939","8,111","8,437","9,014","8,777","8,624","9,144","9,367","9,224"
044834,Stow-Munroe Falls City SD,Summit,"4,895","5,261","5,626","5,942","6,084","6,763","7,280","7,521","7,406","7,880","8,359","8,698","8,797","8,919","9,205","9,343","10,028","9,611"
044842,Strongsville City SD,Cuyahoga,"5,635","6,031","6,440","7,134","7,718","8,417","8,276","8,815","8,749","8,679","9,905","10,376","10,388","10,569","12,349","11,824","11,563","11,142"
044859,Struthers City SD,Mahoning,"5,469","5,478","5,675","6,081","6,575","6,808","6,752","7,295","7,867","8,717","8,192","7,614","7,526","7,225","7,498","8,164","8,920","8,864"
044867,Sycamore Community City SD,Hamilton,"7,024","7,400","7,675","8,438","8,849","9,405","10,256","11,360","12,475","13,131","12,688","12,637","13,025","13,159","13,522","14,733","14,750","14,398"
044875,Sylvania City SD,Lucas,"5,438","5,924","6,125","6,791","6,965","7,284","8,009","9,249","9,447","9,043","8,980","9,400","9,647","10,537","11,203","13,036","11,574","10,660"
044883,Tallmadge City SD,Summit,"5,418","5,512","5,877","6,268","6,535","7,207","7,092","7,218","7,692","8,275","8,781","9,104","9,652","9,656","9,762","9,736","9,830","10,328"
044891,Tiffin City SD,Seneca,"4,670","4,754","4,995","5,482","6,006","6,421","6,573","6,541","6,771","7,137","7,325","7,683","8,119","7,890","7,883","8,423","8,020","7,556"
044909,Toledo City SD,Lucas,"6,098","5,987","6,222","6,620","7,236","8,210","7,860","8,726","9,980","10,279","10,604","11,202","11,320","11,979","13,269","13,543","13,859","12,470"
044917,Toronto City SD,Jefferson,"4,756","4,921","5,196","5,278","5,518","6,174","6,688","7,148","6,912","7,316","7,804","8,520","9,020","8,937","9,279","10,553","9,747","9,924"
044925,Troy City SD,Miami,"5,125","5,265","5,762","5,974","6,035","5,958","6,610","7,215","7,521","7,634","8,030","8,441","8,998","9,373","9,125","9,202","9,467","9,411"
044933,Upper Arlington City SD,Franklin,"7,163","7,903","8,252","9,293","9,096","9,777","9,936","10,750","10,647","10,936","11,359","11,973","12,863","13,907","14,677","14,840","15,172","15,157"
044941,Urbana City SD,Champaign,"4,414","5,225","5,480","5,941","6,350","6,497","6,592","7,112","7,330","8,091","8,551","8,801","9,166","9,440","9,696","10,176","10,842","10,804"
044958,Vandalia-Butler City SD,Montgomery,"5,659","5,633","6,149","6,437","6,793","6,995","7,550","7,641","8,183","8,311","8,792","9,257","9,881","10,801","10,764","11,441","11,928","12,126"
