DISTRICT|FY95|FY96|FY97|FY98|FY99|FY00|FY01|FY02|FY03|FY04|FY05|FY06|FY07|FY08|FY09|FY10|FY11|FY12|
Whitehall City SD|8124|8241|8534|8127|6587|6113|6276|6631|7002|7768|8736|9121|9434|9095|9534|10406|10869|10750|
Wickliffe City SD|10750|11409|11477|12475|11928|7591|7050|7238|7466|8038|9255|9622|10761|11640|11768|10751|12419|13843|
Willard City SD|13843|14294|14410|15243|17343|4536|5045|4948|5218|5600|5848|6361|6648|6868|7288|7653|7880|8092|
Willoughby-Eastlake City SD|8092|8594|8810|9049|8635|6031|4880|4541|4744|4979|5674|5976|6286|6483|7557|8057|9307|8890|
Wilmington City SD|8890|9005|9372|9712|10430|11251|11428|4544|4754|5101|5649|5950|6136|6990|7416|7812|8213|8269|
Wooster City SD|8269|7799|7483|7903|8556|9239|10064|10113|5590|5806|5689|6335|6519|6895|7400|7696|8071|8330|
Worthington City SD|8330|8356|8608|9236|9874|10426|10067|10891|10720|4751|4944|5364|5917|6823|7043|7139|7754|8630|
Wyoming City SD|8630|9026|8684|9580|9387|9738|9915|10597|10847|10630|6914|6760|7941|8434|8655|9196|9841|10125|
Xenia Community City SD|10125|10152|10601|10998|10955|11518|11914|12538|12880|13249|13293|5419|5776|5834|6869|6771|7070|7740|
Youngstown City SD|7740|7723|8268|8628|9575|10023|10495|10121|11369|10964|11232|11175|7869|7674|7737|8007|9347|10009|
Zanesville City SD|10009|9672|10158|9741|10151|9851|9560|9722|10981|12095|12508|12433|12431|4489|4887|4948|5398|5892|
Ada Ex Vill SD|5892|6139|6485|6927|7122|7490|8144|8890|9505|9388|9990|10283|9856|10300|6173|6191|6498|6220|
Amherst Ex Vill SD|6220|6847|6066|7616|8075|8239|8769|8946|9554|9529|10221|10020|10925|11088|10889|4281|4483|4411|
Barnesville Ex Vill SD|4411|5010|5669|5884|6068|5895|6890|7056|7559|7764|7771|7834|7951|8140|8055|8000|5568|5908|
Bluffton Ex Vill SD|5908|7147|7023|7305|7460|8444|9299|9723|10031|9570|9711|10297|10720|11051|11335|10919|10933|6079|
Bradford Ex Vill SD|6079|6702|6955|7315|8115|8644|9222|9911|10392|10322|10163|12233|12148|12301|12534|12965|13305|13367|
Bridgeport Ex Vill SD|13367|6260|6518|6702|7467|7929|8221|8866|9045|8817|9126|9744|10178|10677|10734|10704|10977|11278|
Harrison Hills City SD|11278|12189|4886|5060|5700|5461|6022|6960|7049|7852|8720|8749|9079|8663|9705|9930|10150|10835|
Caldwell Ex Vill SD|10835|11154|10215|7192|7686|7542|7829|7550|7946|8257|9488|10780|11302|12560|14630|15388|13302|13283|
Carey Ex Vill SD|13283|13823|15408|16909|5264|5258|5814|6090|6409|6768|7805|8579|8723|9231|9120|9306|9748|9430|
Carrollton Ex Vill SD|9430|9070|10297|9912|10020|4802|5036|5597|5598|6156|6287|7327|7069|7672|7352|7051|7823|7881|
Chagrin Falls Ex Vill SD|7881|8067|8426|8544|8542|8995|4752|5074|5249|5394|5679|6287|6305|6781|7216|7171|7831|7699|
Chesapeake Union Ex Vill SD|7699|7902|8328|8436|9151|8972|9081|4903|4938|5291|5444|5594|6319|6933|7596|8104|8751|7146|
Clyde-Green Springs Ex Vill|7146|7544|7964|8684|8769|9004|9351|9392|4024|4236|4878|4755|5635|5773|5948|6591|6266|6826|
Coldwater Ex Vill SD|6826|7278|7730|8306|8081|8008|8469|8640|8309|5835|6534|6370|6410|6965|7527|7341|7326|7970|
Columbiana Ex Vill SD|7970|7911|8414|8357|8824|9145|9056|9517|9209|9387|4744|5143|5135|5594|5636|6352|6465|7150|
Covington Ex Vill SD|7150|7841|8318|8579|9907|9618|9091|9261|10184|9294|8898|4338|4571|4753|5022|5315|6246|7004|
Crestline Ex Vill SD|7004|6816|7120|7367|8040|8310|8677|9817|9840|10586|9615|9660|3942|4211|4603|4791|5367|5829|
Crooksville Ex Vill SD|5829|6341|6626|6851|7269|7766|7684|8018|8451|7934|8832|9364|9268|2644|4840|4951|5514|5662|
Fairport Harbor Ex Vill SD|5662|5733|6202|6668|6757|7069|7212|7270|7626|7928|8108|8269|8408|8995|3915|4247|4431|4551|
Georgetown Ex Vill SD|4551|4965|5240|5371|5836|6688|7179|7044|7425|8146|7888|7719|8181|8511|8744|7235|7152|7481|
Gibsonburg Ex Vill SD|7481|7634|7912|8568|8991|9430|9623|10305|10984|10746|11325|10874|11332|11912|12304|12311|4838|5001|
Granville Ex Vill SD|5001|5121|5176|5612|6097|6469|7117|7437|7280|6850|7436|7706|7820|8298|8922|8997|8658|4507|
Greenfield Ex Vill SD|4507|4798|5280|5390|6027|6459|6496|6923|7097|7555|7946|7955|8126|8746|8750|8975|8771|8553|
Hicksville Ex Vill SD|8553|4324|4668|4762|5361|5621|6157|6732|6984|7333|7738|7949|7860|8854|9107|9633|9626|9848|
Hubbard Ex Vill SD|9848|9479|5205|5190|5460|5811|6055|5954|6572|7097|7059|7287|6955|6694|7168|7087|8058|9150|
Indian Hill Ex Vill SD|9150|8967|8325|4371|4840|5509|5463|5867|5928|6701|7351|6970|7668|8163|8050|8177|8257|8717|
Leetonia Ex Vill SD|8717|9037|8962|9100|5365|5924|6160|6075|7224|6792|7972|9135|9403|9471|8046|9739|10337|10045|
Lisbon Ex Vill SD|10045|9722|9776|9752|10039|5053|5240|5500|4722|5401|5881|6454|6837|7329|8193|8288|8424|8414|
Loudonville-Perrysville Ex V|8414|8827|9304|9427|10169|9896|5599|5950|6073|6470|6997|7455|8671|9102|8489|8048|8283|7734|
Marysville Ex Vill SD|7734|9032|8653|9127|9707|9313|10148|3868|3933|3811|4567|4993|6331|6490|6412|6624|6979|7041|
Mechanicsburg Ex Vill SD|7041|7266|8552|8321|8473|7963|8139|8298|4565|4736|5103|5370|6033|5972|7040|6564|6765|7155|
Mentor Ex Vill SD|7155|7201|7998|8111|8333|8167|9009|9317|9445|5117|5699|5652|5594|6445|6826|7739|7956|7589|
Milford Ex Vill SD|7589|7883|8351|8780|9164|9277|9530|10273|10339|10220|4366|4428|4577|4652|5319|5479|6375|7105|
Milton-Union Ex Vill SD|7105|7136|6808|7771|8000|8048|8057|8339|8508|8827|8910|4283|4549|4625|4843|5344|5805|6298|
Montpelier Ex Vill SD|6298|6652|7297|7613|7698|7623|7821|7983|8400|7579|8212|10257|4784|5184|5497|5927|5827|5881|
Mount Gilead Ex Vill SD|5881|6571|6709|7095|7259|7534|7463|8089|8415|8687|8874|9133|8835|7255|7703|7801|9034|9919|
Newcomerstown Ex Vill SD|9919|10606|10642|10250|10594|11199|12315|12559|13378|13998|14770|15372|15209|15740|4384|4343|4810|4874|
New Richmond Ex Vill SD|4874|5110|5401|5552|6297|6732|7175|7381|7772|8067|8323|7835|8101|9013|9423|4048|4572|4754|
Newton Falls Ex Vill SD|4754|5215|5421|5789|6167|6047|6746|7201|7476|7650|8124|8808|8865|8910|11005|10286|5622|5360|
